Index,text,rating,label,annotation
17911,"Apart from that, there isn't much to the plot",4,1,-1
12430,A hot steamy love affair with secrets  felonies and hotties,5,1,1
1319,"Corrupt cop, porn girlfriend, porn producer = predictable crap triangle",2,-1,-1
16636,The book started to get interesting and then it ended and is over,2,-1,-1
4264,Not much depth to it,2,-1,-1
5033,"Good triumphs evil, a story as old as time, but never told this way",4,1,1
1844,Robert Thomas keeps the action going,5,1,1
13088,The Throne is a definite page turner,5,1,1
6299,I thought this was a great start to a series,5,1,-1
10589,I read this book in one day because I could not put it down,5,1,1
3156,I'd like to see more of Fey's adventures,5,1,1
17663,"A good story, but should have ended with one book",2,-1,-1
20144,IF Ramirez is not in the book anymore with Maddie it would not be a great story line,5,1,1
17940,These characters have no depth because the story is taking place in bed,1,-1,-1
5207,"I really, really enjoyed this book",5,1,1
2985,I would definitely recommend this book,4,1,1
9733,I didn't like the way the main characters looked down on themselves,2,-1,-1
95,Summer is hilarious and I'm sure many of us can see ourselves in her,5,1,1
194,Just not the way it was told,2,-1,-1
17320,I would recommend this series to anyone who likes a taste of the &#34,5,1,1
19341,The story of Bella and the color change of the bandana was a fun way to keep the reader engaged in finding the color,5,1,1
10255,"His Only Desire is a beautifully written, sexual, steamy love scenes, drama-filled collection",5,1,1
1281,I'm writing the same for all five books,5,1,1
11729,Would loved for it to be a longer series,5,1,1
2617,They are a fun ride when you don't want to work at anything,5,1,1
15695,I just didn't see the point of it at all,1,-1,-1
11194,"what can I say, I thought it might be as fun as the B movies",2,-1,-1
16055,THis was not the same quialty as others and I did not even finish it as it lacked the grace and poise I like,2,-1,-1
18234,"I loved boook 1 & 2, again this another books that was all over the place",2,-1,-1
8409,I liked it  from begining to end,4,1,1
4132,The book was good there were a lot of typos im going to purchase and read the other journey books,2,-1,-1
745,she decided that we were too strict with her and she went to live,5,1,-1
11136,The guys are sexy and hot and the women are outgoing and funny,5,1,1
6162,with 15 Minutes Of Practice a Day''Really,1,-1,-1
19183,No me moleste en terminar el libro,2,-1,-1
14200,I know Noonie is so ready to find love and I think he has finally met his match,4,1,1
5750,I was bored stiff with this story,2,-1,-1
14684,The stories were well written but that's about all I can say nice about this book,1,-1,-1
15685,I think that the writing  could have been good and the author is certainly capable of writing an interesting and  easy flowing story,2,-1,-1
14856,"And of course, Calvin played  the perfect hero",5,1,1
13913,"This fast-paced, action packed book has me wanting to see where this goes",4,1,1
124,"Over all a pretty good book, i was disapointed that it ended the way it did, it could have used a bit more content",4,1,1
11262,"Finally I found a book that explains everything about a ketogenic diet, debunks all the myths, and it even helps you customize your own ketogenic diet plan",5,1,1
12569,I am a fan of Sarah's recipe books and find she always has unique and awesome recipes,5,1,1
5098,You'll want to read this charming tale,5,1,1
